id,official_name,manufacturer,manufacturer_code,created_source,validation_status,visibility,is_active,proposed_classification
"3831cf04-cb14-4bdc-953b-2524987174d5","Flange Sobreposto 4""","","","migration","pending_review","private","true","UNKNOWN"
"d5f6007e-6e59-4c87-8105-56ae2e05c369","Fonte Chaveada 24V 10A","","","migration","pending_review","private","true","UNKNOWN"
"51cef92d-ffe6-4105-b412-6806478ff7bb","Graxa Branca de Lítio","","","migration","pending_review","private","true","UNKNOWN"
"7230c522-ba0b-4afa-ac67-7953367f4b07","IHM Touch Screen 7""","","","migration","pending_review","private","true","UNKNOWN"
"8586e239-72bc-4d0e-bcc5-78d7c14c1428","Inversor de Frequência 5CV","","","migration","pending_review","private","true","UNKNOWN"
"d175d674-949d-4ce6-b0b1-f5e72cdef713","Lâmpada LED Industrial 150W","","","migration","pending_review","private","true","UNKNOWN"
"e0000000-0000-0000-0000-000000000007","Lixa d'água grão 120","","","migration","pending_review","private","true","UNKNOWN"
"086d83f1-a0c4-4826-a429-1a7ba0ce1bfb","Luva de Raspa Soldador","","","migration","pending_review","private","true","UNKNOWN"
"28885f93-c2db-47eb-9340-801b1a7673b1","Mancal Pedestal UCP205","","","migration","pending_review","private","true","UNKNOWN"
"404df04a-73a9-4ad5-8a26-560952489dd1","Mangueira PU 8mm Azul","","","migration","pending_review","private","true","UNKNOWN"
"18f45c63-8713-47f1-9d52-e2028bda971d","Manômetro Glicerina","","","migration","pending_review","private","true","UNKNOWN"
"7723e420-0485-4ed4-ac80-98e2edf467cc","Óculos de Segurança Incolor","","","migration","pending_review","private","true","UNKNOWN"
"e0000000-0000-0000-0000-000000000008","Parafuso M8x30","","","migration","pending_review","private","true","UNKNOWN"
"2c650c0a-fa51-4d0b-abcf-88662efdaff6","Parafuso Sextavado M10x50","","","migration","pending_review","private","true","UNKNOWN"
"34010784-51e8-4093-b054-b3bf91e2b92d","Polia de Alumínio SPA","","","migration","pending_review","private","true","UNKNOWN"
"b7d58752-b62c-485f-8a74-2a99eb5f45ef","Porca Travante M10","","","migration","pending_review","private","true","UNKNOWN"
"7df03f6b-1e59-4576-99eb-ad86ff3ea547","Pressostato Diferencial","","","migration","pending_review","private","true","UNKNOWN"
"6028162b-bc65-4150-9d80-3b81c60e132c","Protetor Auricular Tipo Concha","","","migration","pending_review","private","true","UNKNOWN"
"41c04dc9-84a6-465f-9d79-dd354595ed20","Quadro de Distribuição 24 DIN","","","migration","pending_review","private","true","UNKNOWN"
"08077694-4d81-47df-83b6-62871d16cf28","Relé de Interface 24VDC","","","migration","pending_review","private","true","UNKNOWN"
"7b3bce2e-7b16-44a1-ac47-8d7ad6731fff","Relé Térmico 23-32A","","","migration","pending_review","private","true","UNKNOWN"
"82d78715-bd60-4976-9434-47ddaf48db86","Retentor de Óleo Nitrílico","","","migration","pending_review","private","true","UNKNOWN"
"4c2adf4c-5699-4176-b5dc-fba8fbd5def8","Rolamento Rígido 6205","","","migration","pending_review","private","true","UNKNOWN"
"e0000000-0000-0000-0000-000000000009","Sensor de temperatura","","","migration","pending_review","private","true","UNKNOWN"
"965339d8-45f8-41e2-9adb-ce9ea7508cfd","Sensor Indutivo M18","","","migration","pending_review","private","true","UNKNOWN"
"607cb7a9-5b9f-4807-9abc-df3131f7a1d7","Silenciador Bronze Sinterizado","","","migration","pending_review","private","true","UNKNOWN"
"e0000000-0000-0000-0000-000000000011","Solvente orgânico","","","migration","pending_review","private","true","UNKNOWN"
"01826f20-ed60-4766-b10a-8245b0a53267","Termopar Tipo K","","","migration","pending_review","private","true","UNKNOWN"
"e4723aa9-8457-4462-83b3-a37ca6053a68","Tinta Epóxi Industrial","","","migration","pending_review","private","true","UNKNOWN"
"8ec5e024-1651-49ba-b1be-d20190db3dcc","Tomada Industrial 32A","","","migration","pending_review","private","true","UNKNOWN"
"f7701003-bf68-4bde-9cac-70ffbbec01c6","Transmissor de Pressão 4-20mA","","","migration","pending_review","private","true","UNKNOWN"
"471abcef-52f5-4518-b13b-8e82a2bc1d54","Tubo Aço Carbono Schedule 40","","","migration","pending_review","private","true","UNKNOWN"
"e0000000-0000-0000-0000-000000000003","Tubo de aço 2""","","","migration","pending_review","private","true","UNKNOWN"
"b80cff2a-acfb-4d37-8ce4-facd4254f75f","Unidade FRL 1/2""","","","migration","pending_review","private","true","UNKNOWN"
"39ed5ce7-1903-49c8-b536-b30446c33644","Válvula de Retenção Portinhola","","","migration","pending_review","private","true","UNKNOWN"
"06c5be8a-93e0-4ea9-bf91-5ac79dca9422","Válvula Gaveta Bronze 2""","","","migration","pending_review","private","true","UNKNOWN"
"e071e421-2a3c-4b07-aa43-31fd3bba4a0d","Válvula Solenoide 5/2 vias","","","migration","pending_review","private","true","UNKNOWN"
